Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,75.12000274658203,74.4000015258789,74.62999725341797,1204400.0,69.75448608398438,0.0,69.75448608398438,69.75448608398438
2014-01-03,2014,1,3,Friday,75.18000030517578,74.0199966430664,74.83999633789062,719500.0,69.95075988769531,0.002813780370693575,69.85262298583984,69.85262298583984
2014-01-06,2014,1,6,Monday,75.5999984741211,74.91999816894531,75.3499984741211,2301700.0,70.42744445800781,0.0068145731522832875,70.04423014322917,70.04423014322917
2014-01-07,2014,1,7,Tuesday,75.91999816894531,74.87000274658203,75.77999877929688,1576200.0,70.829345703125,0.0057065998661476325,70.24050903320312,70.24050903320312
2014-01-08,2014,1,8,Wednesday,77.20999908447266,76.11000061035156,77.0199966430664,2146300.0,71.98833465576172,0.016363118155778622,70.59007415771484,70.59007415771484
2014-01-09,2014,1,9,Thursday,77.3499984741211,76.6500015258789,76.98999786376953,2129200.0,71.96028900146484,-0.0003895860965666964,70.81844329833984,70.81844329833984
2014-01-10,2014,1,10,Friday,78.52999877929688,76.88999938964844,78.1500015258789,1879800.0,73.04451751708984,0.015067039483442457,71.13645390101841,71.13645390101841
2014-01-13,2014,1,13,Monday,78.29000091552734,77.36000061035156,77.43000030517578,1482300.0,72.3715591430664,-0.00921298951514038,71.29084205627441,71.29084205627441
2014-01-14,2014,1,14,Tuesday,78.4000015258789,77.4800033569336,78.16000366210938,1573600.0,73.05386352539062,0.009427797195517229,71.48673333062067,71.48673333062067
2014-01-15,2014,1,15,Wednesday,78.48999786376953,77.66999816894531,78.25,1166200.0,73.13798522949219,0.0011515024673858232,71.65185852050782,71.65185852050782
2014-01-16,2014,1,16,Thursday,78.87000274658203,78.08999633789062,78.68000030517578,951800.0,73.53988647460938,0.005495109604894077,71.82349742542614,71.82349742542614
2014-01-17,2014,1,17,Friday,78.88999938964844,78.08000183105469,78.19999694824219,1632900.0,73.09127044677734,-0.006100308952569855,71.9291451772054,71.9291451772054
2014-01-21,2014,1,21,Tuesday,79.0,78.26000213623047,78.58999633789062,1285800.0,73.45577239990234,0.004986942365305058,72.04657804048978,72.04657804048978
2014-01-22,2014,1,22,Wednesday,79.23999786376953,78.48999786376953,78.58000183105469,2041800.0,73.44644927978516,-0.00012692154493221253,72.14656884329659,72.14656884329659
2014-01-23,2014,1,23,Thursday,79.0,76.13999938964844,77.77999877929688,2333200.0,72.69869995117188,-0.01018087784972177,72.35686983381,72.18337758382161
2014-01-24,2014,1,24,Friday,78.1500015258789,76.11000061035156,76.12999725341797,1789100.0,71.15647888183594,-0.02121387411840614,72.44299261910575,72.11919641494751
2014-01-27,2014,1,27,Monday,76.77999877929688,75.79000091552734,76.31999969482422,1235800.0,71.33406829833984,0.0024957589146423764,72.50775146484375,72.07301240808823
2014-01-28,2014,1,28,Tuesday,77.45999908447266,76.52999877929688,77.44000244140625,1243600.0,72.38091278076172,0.01467523873787302,72.61857768467495,72.09011798434787
2014-01-29,2014,1,29,Wednesday,77.37000274658203,76.4800033569336,76.9000015258789,2155500.0,71.87617492675781,-0.00697335574549518,72.61056627546039,72.07885782342208
2014-01-30,2014,1,30,Thursday,78.44999694824219,77.20999908447266,78.13999938964844,2097300.0,73.0351791381836,0.01612501239258779,72.68734414236886,72.12667388916016
2014-01-31,2014,1,31,Friday,77.8499984741211,76.94000244140625,77.5999984741211,1563600.0,72.53044891357422,-0.006910782318400588,72.65062495640346,72.14590127127511
2014-02-03,2014,2,3,Monday,77.83999633789062,76.30999755859375,76.47000122070312,3528300.0,71.47425842285156,-0.014562028865713894,72.58653204781669,72.11537205089222
2014-02-04,2014,2,4,Tuesday,77.27999877929688,76.2300033569336,76.75,3908000.0,71.73597717285156,0.0036617203980156,72.49239730834961,72.09887662141219
2014-02-05,2014,2,5,Wednesday,77.41999816894531,76.20999908447266,77.0,1793700.0,71.96966552734375,0.003257617219447617,72.40894590105329,72.093492825826
2014-02-06,2014,2,6,Thursday,78.33000183105469,77.16999816894531,78.20999908447266,2302100.0,73.10060119628906,0.015714060370554783,72.37756838117328,72.13377716064453
2014-02-07,2014,2,7,Friday,79.54000091552734,78.27999877929688,79.43000030517578,1340000.0,74.24089050292969,0.015598904632517785,72.45968409946987,72.21481998150165
2014-02-10,2014,2,10,Monday,80.44000244140625,79.08000183105469,80.41999816894531,2736000.0,75.16622161865234,0.012463901085428608,72.5818590436663,72.32413115324798
2014-02-11,2014,2,11,Tuesday,81.27999877929688,80.16999816894531,81.13999938964844,1229400.0,75.83919525146484,0.00895313903400341,72.75276947021484,72.44966915675572
2014-02-12,2014,2,12,Wednesday,81.41999816894531,80.69000244140625,80.94999694824219,1340300.0,75.66161346435547,-0.0023415568496020223,72.96440614972796,72.56042585701778
2014-02-13,2014,2,13,Thursday,82.93000030517578,80.44999694824219,82.75,2446500.0,77.34400939941406,0.022235792471583693,73.40637261526925,72.71987864176432
2014-02-14,2014,2,14,Friday,83.86000061035156,82.47000122070312,83.3499984741211,2557100.0,77.90480041503906,0.007250606995675701,73.87571062360492,72.8871341828377
2014-02-18,2014,2,18,Tuesday,83.81999969482422,82.55000305175781,82.62000274658203,1805700.0,77.22250366210938,-0.008758083575013842,74.22153854370117,73.02261447906494
2014-02-19,2014,2,19,Wednesday,82.5999984741211,81.56999969482422,81.63999938964844,1757000.0,76.30652618408203,-0.011861535622248787,74.53799220493862,73.12212695497455
2014-02-20,2014,2,20,Thursday,82.8499984741211,81.18000030517578,82.6500015258789,1428100.0,77.25054931640625,0.01237145994625477,74.83909007481166,73.24355114207549
2014-02-21,2014,2,21,Friday,83.12000274658203,82.0,82.0999984741211,1602100.0,76.73646545410156,-0.006654759957745782,75.13951982770648,73.34334869384766
2014-02-24,2014,2,24,Monday,83.05999755859375,82.0999984741211,82.61000061035156,1745500.0,77.21314239501953,0.006211869912135626,75.54944011143276,73.45084296332465
2014-02-25,2014,2,25,Tuesday,82.68000030517578,81.45999908447266,81.58999633789062,1594600.0,76.25980377197266,-0.012346843988936929,75.87257058279855,73.52676082301784
2014-02-26,2014,2,26,Wednesday,81.97000122070312,80.73999786376953,81.12999725341797,1853400.0,75.82981872558594,-0.0056384231943794605,76.14829581124442,73.58736760992753
2014-02-27,2014,2,27,Thursday,81.31999969482422,80.6500015258789,81.16999816894531,1552800.0,75.8672103881836,0.0004930997228540512,76.3459107535226,73.6458251170623
2014-02-28,2014,2,28,Friday,81.5199966430664,79.83999633789062,80.23999786376953,2490500.0,74.99799346923828,-0.01145708290179459,76.39998953683036,73.6796293258667
2014-03-03,2014,3,3,Monday,80.30999755859375,79.43000030517578,79.9000015258789,1503800.0,74.68019104003906,-0.00423747909108485,76.3652730669294,73.7040332701148
2014-03-04,2014,3,4,Tuesday,82.05000305175781,80.80999755859375,81.87000274658203,1747700.0,76.521484375,0.024655712703971933,76.41400800432477,73.77111543927874
2014-03-05,2014,3,5,Wednesday,81.88999938964844,80.97000122070312,81.08000183105469,1339200.0,75.7831039428711,-0.009649321862477356,76.42268589564732,73.81790586959484
2014-03-06,2014,3,6,Thursday,81.41999816894531,80.70999908447266,80.94999694824219,1024700.0,75.66161346435547,-0.0016031341050269932,76.30251475742885,73.8598083149303
2014-03-07,2014,3,7,Friday,81.70999908447266,80.69000244140625,81.63999938964844,1380300.0,76.30652618408203,0.008523644820637832,76.1883523123605,73.91417982313368
2014-03-10,2014,3,10,Monday,81.87999725341797,81.36000061035156,81.80000305175781,994700.0,76.45606994628906,0.001959776832800353,76.13360704694476,73.96943830407184
2014-03-11,2014,3,11,Tuesday,81.87999725341797,81.2699966430664,81.62999725341797,1030900.0,76.29718017578125,-0.002078183859299032,76.13293947492328,74.01896472687417
2014-03-12,2014,3,12,Wednesday,81.63999938964844,81.23999786376953,81.62999725341797,920400.0,76.29718017578125,0.0,76.06484167916435,74.0664275487264
2014-03-13,2014,3,13,Thursday,82.2699966430664,81.0999984741211,81.22000122070312,1970500.0,75.91397094726562,-0.005022587042309401,76.0060920715332,74.10413251604352
2014-03-14,2014,3,14,Friday,81.63999938964844,80.12999725341797,80.2699966430664,1490300.0,75.02600860595703,-0.011696955517258134,75.84986822945731,74.1225700378418
2014-03-17,2014,3,17,Monday,81.16000366210938,80.4800033569336,80.79000091552734,1204500.0,75.51204681396484,0.006478262898943932,75.79645701817104,74.2377212524414
2014-03-18,2014,3,18,Tuesday,81.5999984741211,80.23999786376953,81.52999877929688,1405900.0,76.20370483398438,0.009159571872333627,75.82316316877093,74.36278015136719
2014-03-19,2014,3,19,Wednesday,81.97000122070312,80.7300033569336,81.22000122070312,985900.0,75.91397094726562,-0.0038020971204740794,75.82650320870536,74.47251068115234
2014-03-20,2014,3,20,Thursday,81.33000183105469,80.5199966430664,81.30000305175781,912300.0,75.9887466430664,0.000985005722500265,75.89727129255023,74.57569869995118
2014-03-21,2014,3,21,Friday,82.30000305175781,80.7300033569336,80.86000061035156,2765700.0,75.57746887207031,-0.005412351027816564,75.96136256626674,74.64748138427734
2014-03-24,2014,3,24,Monday,81.25,79.18000030517578,79.30999755859375,2157200.0,74.12873840332031,-0.019168814335423945,75.7904521397182,74.69085037231446
2014-03-25,2014,3,25,Tuesday,80.62999725341797,79.37999725341797,79.94000244140625,1154900.0,74.71759796142578,0.007943741803638993,75.71434456961495,74.72431198120117
2014-03-26,2014,3,26,Wednesday,80.69000244140625,79.58999633789062,79.58999633789062,1166100.0,74.39043426513672,-0.004378669887888598,75.62354605538505,74.76468948364258
