last digit,count,digit_frequency,uniform
0,168,0.13354531001589826,0.1
1,101,0.08028616852146264,0.1
2,135,0.10731319554848967,0.1
3,112,0.0890302066772655,0.1
4,128,0.10174880763116058,0.1
5,135,0.10731319554848967,0.1
6,121,0.09618441971383147,0.1
7,108,0.08585055643879173,0.1
8,128,0.10174880763116058,0.1
9,122,0.09697933227344992,0.1
